Code	Description	Four_Digit_Code	Four_Digit_Description	Two_Digit_Code	Two_Digit_Description	Definition
000000	No Qualification	0000	No Qualification	00	No Qualification	No Qualification/No Qualification/No Qualification
010000	Natural and Physical Sciences not further defined	0100	Natural and Physical Sciences not further defined	01	Natural and Physical Sciences	Natural and Physical Sciences/Natural and Physical Sciences not further defined/Natural and Physical Sciences not further defined
010100	Mathematical Sciences not further defined	0101	Mathematical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Mathematical Sciences/Mathematical Sciences not further defined
010101	Mathematics	0101	Mathematical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Mathematical Sciences/Mathematics
010103	Statistics	0101	Mathematical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Mathematical Sciences/Statistics
010199	Mathematical Sciences not elsewhere classified	0101	Mathematical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Mathematical Sciences/Mathematical Sciences not elsewhere classified
010300	Physics and Astronomy not further defined	0103	Physics and Astronomy	01	Natural and Physical Sciences	Natural and Physical Sciences/Physics and Astronomy/Physics and Astronomy not further defined
010301	Physics	0103	Physics and Astronomy	01	Natural and Physical Sciences	Natural and Physical Sciences/Physics and Astronomy/Physics
010303	Astronomy	0103	Physics and Astronomy	01	Natural and Physical Sciences	Natural and Physical Sciences/Physics and Astronomy/Astronomy
010500	Chemical Sciences not further defined	0105	Chemical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Chemical Sciences/Chemical Sciences not further defined
010501	Organic Chemistry	0105	Chemical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Chemical Sciences/Organic Chemistry
010503	Inorganic Chemistry	0105	Chemical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Chemical Sciences/Inorganic Chemistry
010599	Chemical Sciences not elsewhere classified	0105	Chemical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Chemical Sciences/Chemical Sciences not elsewhere classified
010700	Earth Sciences not further defined	0107	Earth Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Earth Sciences/Earth Sciences not further defined
010701	Atmospheric Sciences	0107	Earth Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Earth Sciences/Atmospheric Sciences
010703	Geology	0107	Earth Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Earth Sciences/Geology
010705	Geophysics	0107	Earth Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Earth Sciences/Geophysics
010707	Geochemistry	0107	Earth Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Earth Sciences/Geochemistry
010709	Soil Science	0107	Earth Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Earth Sciences/Soil Science
010711	Hydrology	0107	Earth Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Earth Sciences/Hydrology
010713	Oceanography	0107	Earth Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Earth Sciences/Oceanography
010799	Earth Sciences not elsewhere classified	0107	Earth Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Earth Sciences/Earth Sciences not elsewhere classified
010900	Biological Sciences not further defined	0109	Biological Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Biological Sciences/Biological Sciences not further defined
010901	Biochemistry and Cell Biology	0109	Biological Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Biological Sciences/Biochemistry and Cell Biology
010903	Botany	0109	Biological Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Biological Sciences/Botany
010905	Ecology and Evolution	0109	Biological Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Biological Sciences/Ecology and Evolution
010907	Marine Science	0109	Biological Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Biological Sciences/Marine Science
010909	Genetics	0109	Biological Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Biological Sciences/Genetics
010911	Microbiology	0109	Biological Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Biological Sciences/Microbiology
010913	Human Biology	0109	Biological Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Biological Sciences/Human Biology
010915	Zoology	0109	Biological Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Biological Sciences/Zoology
010916	Neuroscience	0109	Biological Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Biological Sciences/Neuroscience
010999	Biological Sciences not elsewhere classified	0109	Biological Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Biological Sciences/Biological Sciences not elsewhere classified
019900	Other Natural and Physical Sciences not further defined	0199	Other Natural and Physical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Other Natural and Physical Sciences/Other Natural and Physical Sciences not further defined
019901	Medical Science	0199	Other Natural and Physical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Other Natural and Physical Sciences/Medical Science
019903	Forensic Science	0199	Other Natural and Physical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Other Natural and Physical Sciences/Forensic Science
019905	Food Science and Biotechnology	0199	Other Natural and Physical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Other Natural and Physical Sciences/Food Science and Biotechnology
019907	Pharmacology	0199	Other Natural and Physical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Other Natural and Physical Sciences/Pharmacology
019909	Laboratory Technology	0199	Other Natural and Physical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Other Natural and Physical Sciences/Laboratory Technology
019999	Natural and Physical Sciences not elsewhere classified	0199	Other Natural and Physical Sciences	01	Natural and Physical Sciences	Natural and Physical Sciences/Other Natural and Physical Sciences/Natural and Physical Sciences not elsewhere classified
020000	Information Technology not further defined	0200	Information Technology not further defined	02	Information Technology	Information Technology/Information Technology not further defined/Information Technology not further defined
020100	Computer Science not further defined	0201	Computer Science	02	Information Technology	Information Technology/Computer Science/Computer Science not further defined
020101	Formal Language Theory	0201	Computer Science	02	Information Technology	Information Technology/Computer Science/Formal Language Theory
020103	Computer Applications and Programming	0201	Computer Science	02	Information Technology	Information Technology/Computer Science/Computer Applications and Programming
020105	Computational Theory	0201	Computer Science	02	Information Technology	Information Technology/Computer Science/Computational Theory
020107	Compiler Construction	0201	Computer Science	02	Information Technology	Information Technology/Computer Science/Compiler Construction
020109	Algorithms	0201	Computer Science	02	Information Technology	Information Technology/Computer Science/Algorithms
020111	Data Structures	0201	Computer Science	02	Information Technology	Information Technology/Computer Science/Data Structures
020113	Networks and Communications	0201	Computer Science	02	Information Technology	Information Technology/Computer Science/Networks and Communications
020115	Multimedia Computing Science	0201	Computer Science	02	Information Technology	Information Technology/Computer Science/Multimedia Computing Science
020117	Operating Systems	0201	Computer Science	02	Information Technology	Information Technology/Computer Science/Operating Systems
020119	Artificial Intelligence	0201	Computer Science	02	Information Technology	Information Technology/Computer Science/Artificial Intelligence
020199	Computer Science not elsewhere classified	0201	Computer Science	02	Information Technology	Information Technology/Computer Science/Computer Science not elsewhere classified
020300	Information Systems not further defined	0203	Information Systems	02	Information Technology	Information Technology/Information Systems/Information Systems not further defined
020301	Conceptual Modelling	0203	Information Systems	02	Information Technology	Information Technology/Information Systems/Conceptual Modelling
020303	Database Management	0203	Information Systems	02	Information Technology	Information Technology/Information Systems/Database Management
020305	Systems Analysis and Design	0203	Information Systems	02	Information Technology	Information Technology/Information Systems/Systems Analysis and Design
020307	Decision Support Systems	0203	Information Systems	02	Information Technology	Information Technology/Information Systems/Decision Support Systems
020399	Information Systems not elsewhere classified	0203	Information Systems	02	Information Technology	Information Technology/Information Systems/Information Systems not elsewhere classified
029900	Other Information Technology not further defined	0299	Other Information Technology	02	Information Technology	Information Technology/Other Information Technology/Other Information Technology not further defined
029901	Security Science	0299	Other Information Technology	02	Information Technology	Information Technology/Other Information Technology/Security Science
029999	Information Technology not elsewhere classified	0299	Other Information Technology	02	Information Technology	Information Technology/Other Information Technology/Information Technology not elsewhere classified
030000	Engineering and Related Technologies not further defined	0300	Engineering and Related Technologies not further defined	03	Engineering and Related Technologies	Engineering and Related Technologies/Engineering and Related Technologies not further defined/Engineering and Related Technologies not further defined
030100	Manufacturing, Engineering and Technology not further defined	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Manufacturing, Engineering and Technology not further defined
030101	Manufacturing Engineering	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Manufacturing Engineering
030103	Printing	0301	Manufacturing, Engineering and Technology	03	Engineering and Related Technologies	Engineering and Related Technologies/Manufacturing, Engineering and Technology/Printing
